descArea,codRisco,idMtzRisco,descricao,a_sistema,gau_de_risco,bgcolor,fgcolor,ProcessoPri,programas,processoSec,programasSec
Compras,SODRE04,8,"O usuário pode manter os recibos de mercadorias e as faturas para apropriar-se indevidamente de bens e / ou desencadear o pagamento inadequado ao fornecedor. Um usuário pode publicar ou alterar uma entrada de mercadorias fictícia ou incorreta e, em seguida, usar uma questão de mercadorias para ocultar o engano. O vendedor receberia o pagamento do recibo gravado em excesso.",D,MEDIO,#FF8C00,#FFFF,"Receber a nota fiscal","re0190 | re0402 | re1001 | re1005 | re2001","Cancelamento de Títulos",bas_tit_ap_estorno
Compras,SODRE04,8,"O usuário pode manter os recibos de mercadorias e as faturas para apropriar-se indevidamente de bens e / ou desencadear o pagamento inadequado ao fornecedor. Um usuário pode publicar ou alterar uma entrada de mercadorias fictícia ou incorreta e, em seguida, usar uma questão de mercadorias para ocultar o engano. O vendedor receberia o pagamento do recibo gravado em excesso.",D,ALTO,#ff0000,#000000,"Receber a nota fiscal","re0190 | re0402 | re1001 | re1005 | re2001","Permissão para Inclusão/Alteração/Pagamento/Cancelamento",bas_usuar_financ_estab_apb
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401"
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346"
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204"
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,MEDIO,#FF8C00,#FFFF,"Integração Com O Contas a Pagar",re0404,"Aprovar Realização da Compra","cd1720a | oc0205"
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Alterar perfis de acesso para o recebimento",re0101
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Aprovar alterações de perfil de acesso para o recebimento",re0101
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Receber o material comprado fisicamente","re2001 | re2005 | re2006"
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Receber a nota fiscal","re0190 | re0402 | re1001 | re1005 | re2001"
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Registrar Título Manual","bas_antecip_pef_pend_pef | bas_lote_impl_tit_ap | bas_lote_impl_tit_ap_previsao"
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Registrar Adiantamento",bas_antecip_pef_pend
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,MEDIO,#FF8C00,#FFFF,"Integração Com O Contas a Pagar",re0404,"Alteração de Valor Títulos",bas_tit_ap_alteracao
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,MEDIO,#FF8C00,#FFFF,"Integração Com O Contas a Pagar",re0404,"Processo de Pagamento e Baixa de Títulos","bas_bord_ap | bas_bord_ap_confirmacao | bas_cheq_ap_confirmacao | bas_lote_pagto"
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,MEDIO,#FF8C00,#FFFF,"Integração Com O Contas a Pagar",re0404,"Cancelamento de Títulos",bas_tit_ap_estorno
Compras,SODRE05,9,"O usuário pode processar uma fatura fictícia e processar um pagamento pela fatura.",D,ALTO,#ff0000,#000000,"Integração Com O Contas a Pagar",re0404,"Permissão para Inclusão/Alteração/Pagamento/Cancelamento",bas_usuar_financ_estab_apb
Compras,CM01,75,"Manutenção Dados Mestre Fornecedor",D,ALTO,#ff0000,#000000,"Manutenção Dados Mestre Fornecedor","bas_fornecedor | cd0401 | cd0402","Manutenção Dados Mestre Fornecedor","bas_fornecedor | cd0401 | cd0402"
Compras,CM03,77,"Aprovar a compra de serviços",D,ALTO,#ff0000,#000000,"Aceitação de Serviço (Medição)",cn0302b,"Aceitação de Serviço (Medição)",cn0302b
Compras,CM05,79,"Manter fornecedor e inserir fatura de fornecedor para pagamento automático.",D,ALTO,#ff0000,#000000,"Manutenção Dados Mestre Fornecedor","bas_fornecedor | cd0401 | cd0402","Entrar Faturas Fornecedores","re0402 | re1001"
Compras,CM06,80,"Comprar itens não autorizados e iniciar o pagamento por faturamento.",D,ALTO,#ff0000,#000000,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | ce0341 | cn0301","Entrar Faturas Fornecedores","re0402 | re1001"
Compras,CM07,81,"Inser pedidos para uso pessoal e aceitar mercadorias via nota de recebimento.",D,ALTO,#ff0000,#000000,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | cc0604 | ce0341 | cn0301","Entrada Mercadadorias (Pedido de Compras)",re2001
Compras,CM08,82,"Inserir um pedido e inserir um pagamento de cobertura.",D,ALTO,#ff0000,#000000,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | cc0604 | ce0341 | cn0301","Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr"
Compras,CM09,83,"Criar um fornecedor e iniciar compras desse fornecedor.",D,ALTO,#ff0000,#000000,"PR01 Manutenção Dados Mestre Fornecedor","bas_fornecedor | cd0401 | cd0402","Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | ce0341 | cn0301"
Compras,CM10,84,"Suprir um item incorretamente e manipular as contagens do estoque físico para ocultar.",D,ALTO,#ff0000,#000000,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | cc0604 | ce0341 | cn0301","Entrar Contagem Inventário","ce0712 | ce9120"
Compras,CM11,85,"Risco de modificar ou adicionar dados mestres de serviço/materiais (adicionar item que normalmente não é solicitado pela empresa) e depois criar/alterar requisições.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Dados Mestre Materiais","cc0103 | cc0120 | cd0138 | cd0140 | cd0147 | cd0204 | cd0224 | cd0903 | cd1107 | cd1112 | cd1508 | ce0106 | ce0330 | cq0117 | cq0118 | cq0119 | cq0608 | en0105 | re0106 | re0115","Requisição de Compra",NULL
Compras,CM12,86,"Adicionar itens ao arquivo mestre de material ou serviço e criar pedidos fraudulentos para esses itens.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Dados Mestre Materiais","cc0103 | cc0120 | cd0138 | cd0140 | cd0147 | cd0204 | cd0224 | cd0903 | cd1107 | cd1112 | cd1508 | ce0106 | ce0330 | cq0117 | cq0118 | cq0119 | cq0608 | en0105 | re0106 | re0115","Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | ce0341 | cn0301"
Compras,CM13,87,"Receber ou aceitar serviços e depois inserir pagamentos de cobertura.",D,ALTO,#ff0000,#000000,"Aceitação de Serviço (Medição)",cn0302b,"Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr"
Compras,CM14,88,"Inserir pedidos e aceitar os serviços através da aceitação de serviços",D,ALTO,#ff0000,#000000,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | cc0604 | ce0341 | cn0301","Aceitação de Serviço (Medição)",cn0302b
Compras,CM15,89,"Adicionar um item no arquivo mestre de material ou serviço e em seguida adicionar fraudulentamente esses itens a contratos compra.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Dados Mestre Materiais","cc0103 | cc0120 | cd0138 | cd0140 | cd0147 | cd0204 | cd0224 | cd0903 | cd1107 | cd1112 | cd1508 | ce0106 | ce0330 | cq0117 | cq0118 | cq0119 | cq0608 | en0105 | re0106 | re0115","Acordos de Compras","cn0201 | cn0203 | cn0206 | cn0301 | cn0304"
Compras,CM16,90,"Aprovar a compra de mercadorias e ocultar a utilização incorreta do estoque por meio de um recebimento incompleto.",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Entrada Mercadadorias (Pedido de Compras)",re2001
Compras,CM17,91,"Aprovação de Compras e Efetua o pagamento para mercadorias e serviços não autorizados.",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr"
Compras,CM18,92,"Liberar um pedido ilegítimo e iniciar pagamento para o pedido, inserindo faturas.",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Entrar Faturas Fornecedores","re0402 | re1001"
Compras,CM19,93,"Liberar um pedido ilegítimo e a ação permanece oculta com a manipulação das contagens do estoque físico.",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Entrar Contagem Inventário","ce0712 | ce9120"
Compras,CM19,93,"Liberar um pedido ilegítimo e a ação permanece oculta com a manipulação das contagens do estoque físico.",D,BAIXO,#3a309c,#f9f9f9,"Aprovação Pedido de Compra",cd1720a,"Manutenção de Crédito de Clientes","cm0101 | cm0102 | cm0202"
Compras,CM20,94,"Criar fornecedor ou alterar os dados mestres de fornecedor existente e aprovar compras desse fornecedor.",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Manutenção Dados Mestre Fornecedor","bas_fornecedor | cd0401 | cd0402"
Compras,CM21,95,"Adicionar ou modificar dados mestres de materiais ou serviços e liberar pedido para uso pessoal.",D,MEDIO,#FF8C00,#FFFF,"Aprovação Pedido de Compra",cd1720a,"Manutenção Dados Mestre Materiais","cc0103 | cc0120 | cd0138 | cd0140 | cd0147 | cd0204 | cd0224 | cd0903 | cd1107 | cd1112 | cd1508 | ce0106 | ce0330 | cq0117 | cq0118 | cq0119 | cq0608 | en0105 | re0106 | re0115"
Compras,CM22,96,"Risco de inserção contratos de compra e inserção de fornecedor ou modificação de fornec existente, principalmente os dados da conta.",D,ALTO,#ff0000,#000000,"Manutenção Dados Mestre Fornecedor","bas_fornecedor | cd0401 | cd0402","Acordos de Compras","cn0201 | cn0203 | cn0206 | cn0301 | cn0304"
Compras,CM23,97,"Modificar contratos de compra e depois receber mercadorias para fins fraudulentos.",D,ALTO,#ff0000,#000000,"Acordos de Compras","cn0201 | cn0203 | cn0206 | cn0301 | cn0304","Entrada Mercadadorias (Pedido de Compras)",re2001
Compras,CM24,98,"Risco de adição de itens ao arquivo mestre de serviço (serviços não relacionados á  finalidade do negócio) e habilidade de criar requisições para esses serviços.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Dados Mestre Materiais","cc0103 | cc0120 | cd0138 | cd0140 | cd0147 | cd0204 | cd0224 | cd0903 | cd1107 | cd1112 | cd1508 | ce0106 | ce0330 | cq0117 | cq0118 | cq0119 | cq0608 | en0105 | re0106 | re0115","Aprovação Pedido de Compra",cd1720
Compras,CM25,99,"Risco de inserir ou manter um contrato de compra e autorizar a requisição relacionada através de seu lançamento.",D,ALTO,#ff0000,#000000,"Liberar Requisições de Compras",cd1720,"Acordos de Compras","cn0201 | cn0203 | cn0206 | cn0301 | cn0304"
Compras,CM26,100,"Risco de a mesma pessoa requisitar um item e criar um pedido a partir dessa requisição.",D,ALTO,#ff0000,#000000,"Requisição de Compra",cd1720,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | ce0341 | cn0301"
Compras,CM27,101,"Risco de a mesma pessoa inserir um contrato de compra de materiais e depois ajustar o estoque desses materiais.",D,MEDIO,#FF8C00,#FFFF,"Acordos de Compras","cn0201 | cn0203 | cn0206 | cn0301 | cn0304","Entrar Contagem Inventário","ce0712 | ce9120"
Compras,CM28,102,"Risco de a mesma pessoa requisitar um item e em seguida liberar uma requisição de compra, evitando o processo de autorização.",D,MEDIO,#FF8C00,#FFFF,"Requisição de Compra",cd1406,"Aprovação Pedido de Compra",cd1720
Compras,CM29,103,"Risco da mesma pessoa que liberar uma requisição e gerar o pedido que a acompanha.",D,ALTO,#ff0000,#000000,"Liberar Requisições de Compras",cd1720,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | ce0341 | cn0301"
Compras,CM30,104,"Adicionar um item para o arquivo mestre de material ou serviço e em seguida adicionar fraudulentamente esses itens a contratos compra.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Dados Mestre Materiais","cc0103 | cc0120 | cd0138 | cd0140 | cd0147 | cd0204 | cd0224 | cd0903 | cd1107 | cd1112 | cd1508 | ce0106 | ce0330 | cq0117 | cq0118 | cq0119 | cq0608 | en0105 | re0106 | re0115","Acordos de Compras","cn0201 | cn0203 | cn0206 | cn0301 | cn0304"
Compras,CM31,105,"Liberar um pedido e aceitar os serviços através da aceitação de serviços (Medição).",D,MEDIO,#FF8C00,#FFFF,"Aprovação Pedido de Compra",cd1720a,"Aceitação de Serviço (Medição)",cn0302b
Compras,CM31,105,"Liberar um pedido e aceitar os serviços através da aceitação de serviços (Medição).",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Permissão de usários Crédito",cd4600
Compras,CM31,105,"Liberar um pedido e aceitar os serviços através da aceitação de serviços (Medição).",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Receber o material comprado fisicamente","re2001 | re2005 | re2006"
Compras,CM32,106,"Suprir um item incorretamente e manipular as contagens do estoque físico para ocultar.",D,ALTO,#ff0000,#000000,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | cc0604 | ce0341 | cn0301","Entrar Contagem Inventário","ce0712 | ce9120"
Compras,CM33,107,"Liberar um pedido ilegítimo e a ação permanece oculta com a manipulação das contagens do estoque físico.",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Entrar Contagem Inventário","ce0712 | ce9120"
Compras,CM34,108,"Risco de a mesma pessoa inserir um contrato de compra de materiais e depois ajustar o estoque desses materiais.",D,MEDIO,#FF8C00,#FFFF,"Acordos de Compras","cn0201 | cn0203 | cn0206 | cn0301 | cn0304","Entrar Contagem Inventário","ce0712 | ce9120"
Compras,CM35,109,"Inserir um pedido e inserir pagamento de cobertura.",D,ALTO,#ff0000,#000000,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | cc0604 | ce0341 | cn0301","Processar Pagamentos Manualmente","bas_cheq_ap_altera_numero | bas_cheq_ap_confirmacao | bas_cheq_ap_estorno | bas_lote_pagto | fnc_cheq_ap_emissao | fnc_cheq_ap_reemissao"
Compras,CM36,110,"Recebimento ou aceitação de serviços e depois inserir manualmente pagamentos de cobertura.",D,ALTO,#ff0000,#000000,"Aceitação de Serviço (Medição)",cn0302b,"Processar Pagamentos Manualmente","bas_cheq_ap_altera_numero | bas_cheq_ap_confirmacao | bas_cheq_ap_estorno | bas_lote_pagto | fnc_cheq_ap_emissao | fnc_cheq_ap_reemissao"
Compras,CM37,111,"Comprometer a empresa com compras fraudulentas e iniciar pagamentos manuais para mercadorias e serviços não autorizados.",D,ALTO,#ff0000,#000000,"Aprovação Pedido de Compra",cd1720a,"Processar Pagamentos Manualmente","bas_cheq_ap_altera_numero | bas_cheq_ap_confirmacao | bas_cheq_ap_estorno | bas_lote_pagto | fnc_cheq_ap_emissao | fnc_cheq_ap_reemissao"
Compras,CM38,112,"Quando forem utilizadas estratégias de liberação, o mesmo usuário não deve manter pedido e liberá-lo ou aprová-lo.",D,ALTO,#ff0000,#000000,"Manutenção Pedido de Compra","cc0300 | cc0301 | cc0311 | cc0325 | cc0604 | ce0341 | cn0301","Aprovação Pedido de Compra",cd1720
Compras,CM39,113,"O cálculo de preço pode ser manipulado para ganho pessoal por conivência com o fornecedor. O processamento transacional deve ser segregado dos dados mestre do cálculo de preço.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Condições de Preço do Fornecedor","cc0105 | cc0312 | cc0313 | cc0531","Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr"
Compras,CM40,114,"O cálculo de preço pode ser manipulado para ganho pessoal por conivência com o fornecedor. O processamento transacional deve ser segregado dos dados mestre do cálculo de preço.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Condições de Preço do Fornecedor","cc0105 | cc0312 | cc0313 | cc0531","Entrar Faturas Fornecedores","re0402 | re1001"
Compras,CM41,115,"O cálculo de preço pode ser manipulado para ganho pessoal por conivência com o fornecedor. O processamento transacional deve ser segregado dos dados mestre do cálculo de preço.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Condições de Preço do Fornecedor","cc0105 | cc0312 | cc0313 | cc0531","Processar Pagamentos Manualmente","bas_cheq_ap_altera_numero | bas_cheq_ap_confirmacao | bas_cheq_ap_estorno | bas_lote_pagto | fnc_cheq_ap_emissao | fnc_cheq_ap_reemissao"
Compras,CM42,116,"O cálculo de preço pode ser manipulado para ganho pessoal por conivência com o fornecedor. O processamento transacional deve ser segregado dos dados mestre do cálculo de preço.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Condições de Preço do Fornecedor","cc0105 | cc0312 | cc0313 | cc0531","Aprovação Pedido de Compra",cd1720
Compras,CO01,117,"Criar contas contábeis fictícias.",D,ALTO,#ff0000,#000000,"Manutenção Contas Contábeis","bas_cta_ctbl_integr | bas_cta_grp_clien | bas_cta_grp_fornec | bas_cta_produt_financ | bas_impto_vincul_empres | bas_lancto_ctbl_padr | bas_motiv_movto_tit_acr | bas_param_ctbz_cta_pat | bas_plano_cta_ctbl | bas_rat_ctbl | bas_tip_fluxo_financ | bas_tip_trans_cx | cd0253 | cd0309 | cd0611 | cd0709 | cd1408 | ce0101 | ce0110 | cn0101 | cp0102 | cp0106 | in0101 | re0103","Manutenção Contas Contábeis","bas_cta_ctbl_integr | bas_cta_grp_clien | bas_cta_grp_fornec | bas_cta_produt_financ | bas_impto_vincul_empres | bas_lancto_ctbl_padr | bas_motiv_movto_tit_acr | bas_param_ctbz_cta_pat | bas_plano_cta_ctbl | bas_rat_ctbl | bas_tip_fluxo_financ | bas_tip_trans_cx | cd0253 | cd0309 | cd0611 | cd0709 | cd1408 | ce0101 | ce0110 | cn0101 | cp0102 | cp0106 | in0101 | re0103"
Contabilidade,CO02,118,"Abertura/fechamento indevidos de períodos contábeis.",D,ALTO,#ff0000,#000000,"Manutenção Períodos Contábeis",bas_exerc_ctbl,"Manutenção Períodos Contábeis",bas_exerc_ctbl
Contabilidade,CO03,119,"Efetuar Lançamentos na Contabilidade",D,ALTO,#ff0000,#000000,"Efetuar Lançamentos Contábeis","bas_bem_pat_ctbz | bas_lancto_ctbl | bas_lancto_ctbl_import_ascii | bas_movto_tit_acr_contab | bas_rat_ctbl_ctbz | bas_sdo_cta_ctbl_apur_lucro_perda | bas_sdo_cta_ctbl_modul | ce0407 | ce0412 | fnc_lote_ctbl_ems | ft0608 | ft0708","Efetuar Lançamentos Contábeis","bas_bem_pat_ctbz | bas_lancto_ctbl | bas_lancto_ctbl_import_ascii | bas_movto_tit_acr_contab | bas_rat_ctbl_ctbz | bas_sdo_cta_ctbl_apur_lucro_perda | bas_sdo_cta_ctbl_modul | ce0407 | ce0412 | fnc_lote_ctbl_ems | ft0608 | ft0708 | rpt_aprop_ctbl_cmg_contab | rpt_demonst_ctbl_apb | rpt_operac_financ_demonst_ctbl_apl"
Contabilidade,CO04,120,"Riscos de divulgação de relatórios financeiros com informações incorretas.",D,ALTO,#ff0000,#000000,"Cálculo e Contabilização de Variação Cambial e Translation","bas_cta_ctbl_apurac_variac | bas_tit_acr_corrigir | bas_tit_ap_corrigir","Cálculo e Contabilização de Variação Cambial e Translation","bas_cta_ctbl_apurac_variac | bas_tit_acr_corrigir | bas_tit_ap_corrigir"
Contabilidade,CO05,121,"Criar conta contábil fictícia e gerar lançamentos ou ocultar atividades via entradas de lançamento.",D,ALTO,#ff0000,#000000,"Manutenção Contas Contábeis","bas_cta_ctbl_integr | bas_cta_grp_clien | bas_cta_grp_fornec | bas_cta_produt_financ | bas_impto_vincul_empres | bas_lancto_ctbl_padr | bas_motiv_movto_tit_acr | bas_param_ctbz_cta_pat | bas_plano_cta_ctbl | bas_rat_ctbl | bas_tip_fluxo_financ | bas_tip_trans_cx | cd0253 | cd0309 | cd0611 | cd0709 | cd1408 | ce0101 | ce0110 | cn0101 | cp0102 | cp0106 | in0101 | re0103","Efetuar Lançamentos Contábeis","bas_bem_pat_ctbz | bas_lancto_ctbl | bas_lancto_ctbl_import_ascii | bas_movto_tit_acr_contab | bas_rat_ctbl_ctbz | bas_sdo_cta_ctbl_apur_lucro_perda | bas_sdo_cta_ctbl_modul | ce0407 | ce0412 | fnc_lote_ctbl_ems | ft0608 | ft0708 | rpt_aprop_ctbl_cmg_contab | rpt_demonst_ctbl_apb | rpt_operac_financ_demonst_ctbl_apl"
Contabilidade,CO06,122,"Alterar centro de custo sem autorização e processas transferência de custo não autorizadas a este centro, distorcencendo possivelmente o relatório contábil.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Centros de Custo",bas_ccusto,"Processar Transferência Custos","bas_lancto_ctbl | bas_rat_ctbl_ctbz"
Contabilidade,CO07,123,"Alterar centro de custo sem autorização e processar entrada de receita não autorizada a este centro, distorcendo possivelmente o relatórios contábil.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Centros de Custo",bas_ccusto,"Relançamento de Receita","bas_lancto_ctbl | bas_rat_ctbl_ctbz"
Contabilidade,CO08,124,"Manipular relatórios de centro de custo para ocultar lançamento contábil inadequado.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Centros de Custo",bas_ccusto,"Efetuar Lançamentos Contábeis","bas_bem_pat_ctbz | bas_lancto_ctbl | bas_lancto_ctbl_import_ascii | bas_movto_tit_acr_contab | bas_rat_ctbl_ctbz | bas_sdo_cta_ctbl_apur_lucro_perda | bas_sdo_cta_ctbl_modul | ce0407 | ce0412 | fnc_lote_ctbl_ems | ft0608 | ft0708 | rpt_aprop_ctbl_cmg_contab | rpt_demonst_ctbl_apb | rpt_operac_financ_demonst_ctbl_apl"
Contabilidade,CO09,125,"Alocar custos para centros de custo não autorizados, distorcendo assim o relatório financeiro.",D,BAIXO,#3a309c,#f9f9f9,"Manutenção Distribuições entre Centro de Custo","bas_criter_distrib_cta_ctbl | bas_mapa_distrib_ccusto","Efetuar Lançamentos Contábeis","bas_bem_pat_ctbz | bas_lancto_ctbl | bas_lancto_ctbl_import_ascii | bas_movto_tit_acr_contab | bas_rat_ctbl_ctbz | bas_sdo_cta_ctbl_apur_lucro_perda | bas_sdo_cta_ctbl_modul | ce0407 | ce0412 | fnc_lote_ctbl_ems | ft0608 | ft0708 | rpt_aprop_ctbl_cmg_contab | rpt_demonst_ctbl_apb | rpt_operac_financ_demonst_ctbl_apl"
Contabilidade,CO10,126,"Abrir exercícios contábeis previamente fechados e lançar entrada inadequada após o final do mês.",D,ALTO,#ff0000,#000000,"Manutenção Períodos Contábeis",bas_exerc_ctbl,"Efetuar Lançamentos Contábeis","bas_bem_pat_ctbz | bas_lancto_ctbl | bas_lancto_ctbl_import_ascii | bas_movto_tit_acr_contab | bas_rat_ctbl_ctbz | bas_sdo_cta_ctbl_apur_lucro_perda | bas_sdo_cta_ctbl_modul | ce0407 | ce0412 | fnc_lote_ctbl_ems | ft0608 | ft0708 | rpt_aprop_ctbl_cmg_contab | rpt_demonst_ctbl_apb | rpt_operac_financ_demonst_ctbl_apl"
Contabilidade,CO11,127,"Abrir exercícios contábeis previamente fechados e lançar pagamentos inadequados após o final do mês.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Períodos Contábeis",bas_exerc_ctbl,"Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr"
Contabilidade,CO12,128,"Abrir exercícios contábeis previamente fechados e receber ou emitir mercadorias inadequadas após final do mês.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Períodos Contábeis",bas_exerc_ctbl,"Movimentar Mercadorias","cd1409 | cd1410 | ce0205 | ce0206 | ce0220 | cp0306 | cp0309"
Contabilidade,CO13,129,"Abrir exercícios contábeis previamente fechados e lançar inadequadamente pagamentos manuais.",D,MEDIO,#FF8C00,#FFFF,"Manutenção Períodos Contábeis",bas_exerc_ctbl,"Processar Pagamentos Manualmente","bas_cheq_ap_altera_numero | bas_cheq_ap_confirmacao | bas_cheq_ap_estorno | bas_lote_pagto | fnc_cheq_ap_emissao | fnc_cheq_ap_reemissao"
Contabilidade,CP01,130,"Manter fornecedor e criar pagamento para esse fornecedor.",D,ALTO,#ff0000,#000000,"Pagamentos (Contas a Pagar)","bas_antecip_pef_pend_pef | bas_bord_ap | bas_bord_ap_confirmacao | bas_bord_ap_enviar_msg_edi | bas_bord_ap_impressao | bas_cheq_ap_confirmacao | bas_lote_impl_tit_ap | bas_lote_pagto | bas_lote_pagto_enctro_ctas | bas_proces_pagto_prepar_pagto | fnc_cheq_ap_emissao | rpt_bord_ap_ret_pagto_escr","Manutenção Dados Mestre Fornecedor","bas_fornecedor | cd0401 | cd0402"
